fips,type,name
48,State,Texas
48001,County,Anderson
48005,County,Angelina
48015,County,Austin
48021,County,Bastrop
48027,County,Bell
48039,County,Brazoria
48041,County,Brazos
48051,County,Burleson
48053,County,Burnet
48071,County,Chambers
48073,County,Cherokee
48089,County,Colorado
48099,County,Coryell
48145,County,Falls
48149,County,Fayette
48157,County,Fort Bend
48161,County,Freestone
48167,County,Galveston
48183,County,Gregg
48185,County,Grimes
48199,County,Hardin
48201,County,Harris
48203,County,Harrison
48225,County,Houston
48241,County,Jasper
48245,County,Jefferson
48281,County,Lampasas
48287,County,Lee
48289,County,Leon
48291,County,Liberty
48293,County,Limestone
48313,County,Madison
48315,County,Marion
48321,County,Matagorda
48309,County,McLennan
48331,County,Milam
48339,County,Montgomery
48347,County,Nacogdoches
48351,County,Newton
48361,County,Orange
48365,County,Panola
48373,County,Polk
48395,County,Robertson
48401,County,Rusk
48403,County,Sabine
48405,County,San Augustine
48407,County,San Jacinto
48419,County,Shelby
48423,County,Smith
48453,County,Travis
48455,County,Trinity
48457,County,Tyler
48471,County,Walker
48473,County,Waller
48477,County,Washington
48481,County,Wharton
48491,County,Williamson
